Race,Year,CR
B,2016,2:18:57
B,2015,2:18:57
B,2014,2:20:43
B,2013,2:20:43
B,2012,2:20:43
B,2011,2:20:43
B,2010,2:20:43
B,2009,2:20:43
B,2008,2:20:43
B,2007,2:20:43
B,2006,2:20:43
B,2005,2:20:43
B,2004,2:20:43
B,2003,2:20:43
B,2002,2:21:45
B,2001,2:21:45
B,2000,2:21:45
B,1998,2:21:45
C,2016,2:17:18
C,2015,2:17:18
C,2014,2:17:18
C,2013,2:17:18
C,2012,2:17:18
C,2011,2:17:18
C,2010,2:17:18
C,2009,2:17:18
C,2008,2:17:18
C,2007,2:17:18
C,2006,2:17:18
C,2005,2:17:18
C,2004,2:17:18
C,2003,2:17:18
C,2002,2:18:47
C,2001,2:21:21
C,2000,2:21:21
C,1999,2:21:21
C,1998,2:21:21
C,1997,2:21:21
C,1996,2:21:21
NY,2016,2:22:31
NY,2015,2:22:31
NY,2014,2:22:31
NY,2013,2:22:31
NY,2012,2:22:31
NY,2011,2:22:31
NY,2010,2:22:31
NY,2009,2:22:31
NY,2008,2:22:31
NY,2007,2:22:31
NY,2006,2:22:31
NY,2005,2:22:31
NY,2004,2:22:31
NY,2003,2:24:21
NY,2002,2:24:21
NY,2001,2:24:40
NY,2000,2:24:40
NY,1999,2:24:40
NY,1998,2:24:40
NY,1997,2:24:40
NY,1996,2:24:40
NY,1995,2:24:40
NY,1994,2:24:40
NY,1993,2:24:40
TC,2016,2:26:51
TC,2015,2:26:51
TC,2014,2:26:51
TC,2013,2:26:51
TC,2012,2:26:51
TC,2011,2:26:51
TC,2010,2:26:51
TC,2009,2:26:51
TC,2008,2:26:51
TC,2007,2:26:51
TC,2006,2:26:51
TC,2005,2:26:51
TC,2004,2:26:51
TC,2003,2:26:51
TC,2002,2:26:51
TC,2001,2:27:59
TC,2000,2:27:59
D,2016,2:26:31
D,2015,2:26:31
D,2014,2:26:31
D,2013,2:27:05
D,2012,2:27:05
D,2011,2:27:05
D,2010,2:27:05
D,2009,2:27:05
D,2008,2:27:05
D,2007,2:27:05
D,2006,2:27:05
D,2005,2:27:05
D,2004,2:27:05
D,2003,2:29:12
D,2002,2:29:12
D,2001,2:29:12
D,2000,2:29:12
